index	label	hemisphere
1	L_V1v	left
2	L_V1d	left
3	L_V2v	left
4	L_V2d	left
5	L_V3v	left
6	L_V3d	left
7	L_hV4	left
8	L_VO1	left
9	L_VO2	left
10	L_PHC1	left
11	L_PHC2	left
12	L_MST	left
13	L_hMT	left
14	L_LO2	left
15	L_LO1	left
16	L_V3b	left
17	L_V3a	left
18	L_IPS0	left
19	L_IPS1	left
20	L_IPS2	left
21	L_IPS3	left
22	L_IPS4	left
23	L_SPL1	left
24	L_FEF	left
25	R_V1v	right
26	R_V1d	right
27	R_V2v	right
28	R_V2d	right
29	R_V3v	right
30	R_V3d	right
31	R_hV4	right
32	R_VO1	right
33	R_VO2	right
34	R_PHC1	right
35	R_PHC2	right
36	R_MST	right
37	R_hMT	right
38	R_LO2	right
39	R_LO1	right
40	R_V3b	right
41	R_V3a	right
42	R_IPS0	right
43	R_IPS1	right
44	R_IPS2	right
45	R_IPS3	right
46	R_IPS4	right
47	R_IPS5	right
48	R_SPL1	right
49	R_FEF	right
