index	label	hemisphere
1	Primary_visual_cortex	bilateral
2	Medial_superior_temporal_area	bilateral
3	Sixth_Visual_Area	bilateral
4	Second_Visual_Area	bilateral
5	Third_Visual_Area	bilateral
6	Forth_Visual_Area	bilateral
7	Eighth_Visual_Area	bilateral
8	Primary_Motor_Cortex	bilateral
9	Primary_Sensory_Cortex	bilateral
10	Frontal_Eye_Field	bilateral
11	Premotor_Eye_Field	bilateral
12	Area_55b	bilateral
13	Area_V3A	bilateral
14	RetroSplenial_Complex	bilateral
15	Parieto-Occipital_Sulcus_Area_2	bilateral
16	Seventh_Visual_Area	bilateral
17	IntraParietal_Sulcus_Area_1	bilateral
18	Fusiform_Face_Complex	bilateral
19	Area_V3B	bilateral
20	Lateral_Occipital_Area_1	bilateral
21	Lateral_Occipital_Area_2	bilateral
22	Posterior_InferoTemporal_Complex	bilateral
23	Middle_Temporal_Area	bilateral
24	Primary_Auditory_Cortex	bilateral
25	PeriSylvian_Language_Area	bilateral
26	Superior_Frontal_Language_Area	bilateral
27	PreCuneus_Visual_Area	bilateral
28	Superior_Temporal_Visual_Area	bilateral
29	Medial_Area_7P	bilateral
30	Area_7m	bilateral
31	Parieto-Occipital_Sulcus_Area_1	bilateral
32	Area_23d	bilateral
33	Area_Ventral_23_a+b	bilateral
34	Area_Dorsal_23_a+b	bilateral
35	Area_31p_Ventral	bilateral
36	Area_5m	bilateral
37	Area_5m_ventral	bilateral
38	Area_23c	bilateral
39	Area_5L	bilateral
40	Dorsal_Area_24d	bilateral
41	Lateral_Area_7A	bilateral
42	Supplementary_and_Cingulate_Eye_Field	bilateral
43	Area_6m_Anterior	bilateral
44	Medial_6m_anterior	bilateral
45	Medial_Area_7A	bilateral
46	Lateral_Area_7P	bilateral
47	Area_7PC	bilateral
48	Area_Lateral_IntraParietal_ventral	bilateral
49	Ventral_IntraParietal_Complex	bilateral
50	Medial_IntraParietal_Area	bilateral
51	Area_1	bilateral
52	Area_2	bilateral
53	Area_3a	bilateral
54	Dorsal_area_6	bilateral
55	Area_6mp	bilateral
56	Ventral_Area_6	bilateral
57	Area_Posterior_24	bilateral
58	Area_33_prime	bilateral
59	Anterior_24_prime	bilateral
60	Area_p32_prime	bilateral
61	Area_a24	bilateral
62	Area_dorsal_32	bilateral
63	Area_8BM	bilateral
64	Area_p32	bilateral
