index	label	hemisphere
1	L_Precentral_gyrus	left
2	R_Precentral_gyrus	right
3	L_Superior_frontal_gyrus_dorsolateral	left
4	R_Superior_frontal_gyrus_dorsolateral	right
5	L_Middle_frontal_gyrus	left
6	R_Middle_frontal_gyrus	right
7	L_Inferior_frontal_gyrus_triangular_part	left
8	R_Inferior_frontal_gyrus_triangular_part	right
9	L_Inferior_frontal_gyrus_opercular_part	left
10	R_Inferior_frontal_gyrus_opercular_part	right
11	L_Inferior_frontal_gyrus_orbital_part	left
12	R_Inferior_frontal_gyrus_orbital_part	right
13	L_Rolandic_operculum	left
14	R_Rolandic_operculum	right
15	L_Supplementary_motor_area_(Frontal_lobe_Medial_Surface)	left
16	R_Supplementary_motor_area_(Frontal_lobe_Medial_Surface)	right
17	L_Olfactory_cortex	left
18	R_Olfactory_cortex	right
19	L_Superior_frontal_gyrus_medial	left
20	R_Superior_frontal_gyrus_medial	right
21	L_Superior_frontal_gyrus_medial_orbital	left
22	R_Superior_frontal_gyrus_medial_orbital	right
23	L_Gyrus_rectus	left
24	R_Gyrus_rectus	right
25	L_Superior_frontal_gyrus_orbital_part	left
26	R_Superior_frontal_gyrus_orbital_part	right
27	L_Middle_frontal_gyrus_orbital_part	left
28	R_Middle_frontal_gyrus_orbital_part	right
29	L_Orbitofrontal_cortex_posterior	left
30	R_Orbitofrontal_cortex_posterior	right
31	L_Orbitofrontal_cortex_lateral	left
32	R_Orbitofrontal_cortex_lateral	right
33	L_Insula	left
34	R_Insula	right
35	L_Anterior_cingulate_and_paracingulate_gyri	left
36	R_Anterior_cingulate_and_paracingulate_gyri	right
37	L_Median_cingulate_and_paracingulate_gyri	left
38	R_Median_cingulate_and_paracingulate_gyri	right
39	L_Posterior_cingulate_gyrus	left
40	R_Posterior_cingulate_gyrus	right
41	L_Hippocampus	left
42	R_Hippocampus	right
43	L_Parahippocampal_gyrus	left
44	R_Parahippocampal_gyrus	right
45	L_Amygdala	left
46	R_Amygdala	right
47	L_Calcarine_fissure_and_surrounding_cortex	left
48	R_Calcarine_fissure_and_surrounding_cortex	right
49	L_Cuneus	left
50	R_Cuneus	right
51	L_Lingual_gyrus	left
52	R_Lingual_gyrus	right
53	L_Superior_occipital_gyrus	left
54	R_Superior_occipital_gyrus	right
55	L_Middle_occipital_gyrus	left
56	R_Middle_occipital_gyrus	right
57	L_Inferior_occipital_gyrus	left
58	R_Inferior_occipital_gyrus	right
59	L_Fusiform_gyrus	left
60	R_Fusiform_gyrus	right
61	L_Postcentral_gyrus	left
62	R_Postcentral_gyrus	right
63	L_Superior_parietal_gyrus	left
64	R_Superior_parietal_gyrus	right
65	L_Inferior_parietial_but_supramarginal_and_angular_gyri	left
66	R_Inferior_parietial_but_supramarginal_and_angular_gyri	right
67	L_Supramarginal_gyrus	left
68	R_Suparmarginal_gyrus	right
69	L_Angular_gyrus	left
70	R_Angular_gyrus	right
71	L_Precuneus	left
72	R_Precuneus	right
73	L_Paracentral_lobule	left
74	R_Paracentral_lobule	right
75	L_Caudate_nucleus	left
76	R_Caudate_nucleus	right
77	L_Lenticular_nucleus_putamen	left
78	R_Lenticular_nucleus_putamen	right
79	L_Lenticular_nucleus_pallidum	left
80	R_Lenticular_nucleus_pallidum	right
81	L_Thalamus	left
82	R_Thalamus	right
83	L_Heschl_gyrus	left
84	R_Heschl_gyrus	right
85	L_Superior_temporal_gyrus	left
86	R_Superior_temporal_gyrus	right
87	L_Temporal_pole_superior_temporal_gyrus	left
88	R_Temporal_pole_superior_temporal_gyrus	right
89	L_Middle_temporal_gyrus	left
90	R_Middle_temporal_gyrus	right
91	L_Temporal_pole_middle_temporal_gyrus	left
92	R_Temporal_pole_middle_temporal_gyrus	right
93	L_Inferior_temporal_gyrus	left
94	R_Inferior_temporal_gyrus	right
95	L_Cerebelum_Crus1	left
96	R_Cerebelum_Crus1	right
97	L_Cerebelum_Crus2	left
98	R_Cerebelum_Crus2	right
99	L_Cerebelum_3	left
100	R_Cerebelum_3	right
101	L_Cerebelum_4_5	left
102	R_Cerebelum_4_5	right
103	L_Cerebelum_6	left
104	R_Cerebelum_6	right
105	L_Cerebelum_7b	left
106	R_Cerebelum_7b	right
107	L_Cerebelum_8	left
108	R_Cerebelum_8	right
109	L_Cerebelum_9	left
110	R_Cerebelum_9	right
111	L_Cerebelum_10	left
112	R_Cerebelum_10	right
113	Vermis_1_2	bilateral
114	Vermis_4	bilateral
115	Vermis_4_5	bilateral
116	Vermis_6	bilateral
117	Vermis_7	bilateral
118	Vermis_8	bilateral
119	Vermis_9	bilateral
120	Vermis_10	bilateral
