index	label	hemisphere
1	L_Superior_Frontal_Gyrus_1	left
2	R_Superior_Frontal_Gyrus_1	right
3	L_Superior_Frontal_Gyrus_2	left
4	R_Superior_Frontal_Gyrus_2	right
5	L_Superior_Frontal_Gyrus_3	left
6	R_Superior_Frontal_Gyrus_3	right
7	L_Superior_Frontal_Sulcus_1	left
8	R_Superior_Frontal_Sulcus_1	right
9	L_Superior_Frontal_Sulcus_2	left
10	R_Superior_Frontal_Sulcus_2	right
11	L_Superior_Frontal_Sulcus_3	left
12	R_Superior_Frontal_Sulcus_3	right
13	L_Superior_Frontal_Sulcus_4	left
14	R_Superior_Frontal_Sulcus_4	right
15	L_Superior_Frontal_Sulcus_5	left
16	R_Superior_Frontal_Sulcus_5	right
17	L_Superior_Frontal_Sulcus_6	left
18	R_Superior_Frontal_Sulcus_6	right
19	L_Middle_Frontal_Gyrus_1	left
20	R_Middle_Frontal_Gyrus_1	right
21	L_Middle_Frontal_Gyrus_2	left
22	R_Middle_Frontal_Gyrus_2	right
23	L_Middle_Frontal_Gyrus_3	left
24	R_Middle_Frontal_Gyrus_3	right
25	L_Middle_Frontal_Gyrus_4	left
26	R_Middle_Frontal_Gyrus_4	right
27	L_Middle_Frontal_Gyrus_5	left
28	R_Middle_Frontal_Gyrus_5	right
29	L_Inferior_Frontal_Sulcus_1	left
30	R_Inferior_Frontal_Sulcus_1	right
31	L_Inferior_Frontal_Sulcus_2	left
32	R_Inferior_Frontal_Sulcus_2	right
33	L_Inferior_Frontal_Triangular_Gyrus	left
34	R_Inferior_Frontal_Triangular_Gyrus	right
35	L_Superior_Frontal_Orbital_Gyrus	left
36	R_Superior_Frontal_Orbital_Gyrus	right
37	L_Middle_Frontal_Orbital_Gyrus_1	left
38	R_Middle_Frontal_Orbital_Gyrus_1	right
39	L_Middle_Frontal_Orbital_Gyrus_2	left
40	R_Middle_Frontal_Orbital_Gyrus_2	right
41	L_Inferior_Frontal_Orbital_Gyrus_1	left
42	R_Inferior_Frontal_Orbital_Gyrus_1	right
43	L_Inferior_Frontal_Orbital_Gyrus_2	left
44	R_Inferior_Frontal_Orbital_Gyrus_2	right
45	L_Orbital_Sulcus_1	left
46	R_Orbital_Sulcus_1	right
47	L_Orbital_Sulcus_2	left
48	R_Orbital_Sulcus_2	right
49	L_Olfactory_Sulcus_1	left
50	R_Olfactory_Sulcus_1	right
51	L_Precentral_Sulcus_1	left
52	R_Precentral_Sulcus_1	right
53	L_Precentral_Sulcus_2	left
54	R_Precentral_Sulcus_2	right
55	L_Precentral_Sulcus_3	left
56	R_Precentral_Sulcus_3	right
57	L_Precentral_Sulcus_4	left
58	R_Precentral_Sulcus_4	right
59	L_Precentral_Sulcus_5	left
60	R_Precentral_Sulcus_5	right
61	L_Precentral_Sulcus_6	left
62	R_Precentral_Sulcus_6	right
63	L_Rolando_Sulcus_1	left
64	R_Rolando_Sulcus_1	right
65	L_Rolando_Sulcus_2	left
66	R_Rolando_Sulcus_2	right
67	L_Rolando_Sulcus_3	left
68	R_Rolando_Sulcus_3	right
69	L_Rolando_Sulcus_4	left
70	R_Rolando_Sulcus_4	right
71	L_Postcentral_Sulcus_1	left
72	R_Postcentral_Sulcus_1	right
73	L_Postcentral_Sulcus_2	left
74	R_Postcentral_Sulcus_2	right
75	L_Postcentral_Sulcus_3	left
76	R_Postcentral_Sulcus_3	right
77	L_Superior_Parietal_Gyrus_1	left
78	R_Superior_Parietal_Gyrus_1	right
79	L_Superior_Parietal_Gyrus_2	left
80	R_Superior_Parietal_Gyrus_2	right
81	L_Superior_Parietal_Gyrus_3	left
82	R_Superior_Parietal_Gyrus_3	right
83	L_Superior_Parietal_Gyrus_4	left
84	R_Superior_Parietal_Gyrus_4	right
85	L_Superior_Parietal_Gyrus_5	left
86	R_Superior_Parietal_Gyrus_5	right
87	L_SupraMarginal_Gyrus_1	left
88	R_SupraMarginal_Gyrus_1	right
89	L_SupraMarginal_Gyrus_2	left
90	R_SupraMarginal_Gyrus_2	right
91	L_SupraMarginal_Gyrus_3	left
92	R_SupraMarginal_Gyrus_3	right
93	L_SupraMarginal_Gyrus_4	left
94	R_SupraMarginal_Gyrus_4	right
95	L_SupraMarginal_Gyrus_5	left
96	R_SupraMarginal_Gyrus_5	right
97	L_SupraMarginal_Gyrus_6	left
98	R_SupraMarginal_Gyrus_6	right
99	L_SupraMarginal_Gyrus_7	left
100	R_SupraMarginal_Gyrus_7	right
101	L_Angular_Gyrus_1	left
102	R_Angular_Gyrus_1	right
103	L_Angular_Gyrus_2	left
104	R_Angular_Gyrus_2	right
105	L_Angular_Gyrus_3	left
106	R_Angular_Gyrus_3	right
107	L_Inferior_Parietal_Gyrus_1	left
108	R_Inferior_Parietal_Gyrus_1	right
109	L_Intraparietal_Sulcus_1	left
110	R_Intraparietal_Sulcus_1	right
111	L_Intraparietal_Sulcus_2	left
112	R_Intraparietal_Sulcus_2	right
113	L_Intraparietal_Sulcus_3	left
114	R_Intraparietal_Sulcus_3	right
115	L_Intraoccipital_Sulcus_1	left
116	R_Intraoccipital_Sulcus_1	right
117	L_Occipital_Pole_Gyrus_1	left
118	R_Occipital_Pole_Gyrus_1	right
119	L_Lateral_Occipital_Gyrus_1	left
120	R_Lateral_Occipital_Gyrus_1	right
121	L_Lateral_Occipital_Gyrus_2	left
122	R_Lateral_Occipital_Gyrus_2	right
123	L_Lateral_Occipital_Gyrus_3	left
124	R_Lateral_Occipital_Gyrus_3	right
125	L_Lateral_Occipital_Gyrus_4	left
126	R_Lateral_Occipital_Gyrus_4	right
127	L_Lateral_Occipital_Gyrus_5	left
128	R_Lateral_Occipital_Gyrus_5	right
129	L_Superior_Occipital_Gyrus_1	left
130	R_Superior_Occipital_Gyrus_1	right
131	L_Superior_Occipital_Gyrus_2	left
132	R_Superior_Occipital_Gyrus_2	right
133	L_Middle_Occipital_Gyrus_1	left
134	R_Middle_Occipital_Gyrus_1	right
135	L_Middle_Occipital_Gyrus_2	left
136	R_Middle_Occipital_Gyrus_2	right
137	L_Middle_Occipital_Gyrus_3	left
138	R_Middle_Occipital_Gyrus_3	right
139	L_Middle_Occipital_Gyrus_4	left
140	R_Middle_Occipital_Gyrus_4	right
141	L_Inferior_Occipital_Gyrus_1	left
142	R_Inferior_Occipital_Gyrus_1	right
143	L_Inferior_Occipital_Gyrus_2	left
144	R_Inferior_Occipital_Gyrus_2	right
145	L_Anterior_Insula_Gyrus_1	left
146	R_Anterior_Insula_Gyrus_1	right
147	L_Anterior_Insula_Gyrus_2	left
148	R_Anterior_Insula_Gyrus_2	right
149	L_Anterior_Insula_Gyrus_3	left
150	R_Anterior_Insula_Gyrus_3	right
151	L_Anterior_Insula_Gyrus_4	left
152	R_Anterior_Insula_Gyrus_4	right
153	L_Anterior_Insula_Gyrus_5	left
154	R_Anterior_Insula_Gyrus_5	right
155	L_Insula-posterior_Gyrus_1	left
156	R_Insula-posterior_Gyrus_1	right
157	L_Rolandic_Operculum_Gyrus_1	left
158	R_Rolandic_Operculum_Gyrus_1	right
159	L_Rolandic_Operculum_Gyrus_2	left
160	R_Rolandic_Operculum_Gyrus_2	right
161	L_Superior_Temporal_Gyrus_1	left
162	R_Superior_Temporal_Gyrus_1	right
163	L_Superior_Temporal_Gyrus_2	left
164	R_Superior_Temporal_Gyrus_2	right
165	L_Superior_Temporal_Gyrus_3	left
166	R_Superior_Temporal_Gyrus_3	right
167	L_Superior_Temporal_Gyrus_4	left
168	R_Superior_Temporal_Gyrus_4	right
169	L_Supeiror_Temporal_Sulcus_1	left
170	R_Superior_Temporal_Sulcus_1	right
171	L_Supeiror_Temporal_Sulcus_2	left
172	R_Superior_Temporal_Sulcus_2	right
173	L_Supeiror_Temporal_Sulcus_3	left
174	R_Superior_Temporal_Sulcus_3	right
175	L_Supeiror_Temporal_Sulcus_4	left
176	R_Superior_Temporal_Sulcus_4	right
177	L_Supeiror_Temporal_Sulcus_5	left
178	R_Superior_Temporal_Sulcus_5	right
179	L_Middle_Temporal_Gyrus_1	left
180	R_Middle_Temporal_Gyrus_1	right
181	L_Middle_Temporal_Gyrus_2	left
182	R_Middle_Temporal_Gyrus_2	right
183	L_Middle_Temporal_Gyrus_3	left
184	R_Middle_Temporal_Gyrus_3	right
185	L_Middle_Temporal_Gyrus_4	left
186	R_Middle_Temporal_Gyrus_4	right
187	L_Inferior_Temporal_Gyrus_1	left
188	R_Inferior_Temporal_Gyrus_1	right
189	L_Inferior_Temporal_Gyrus_2	left
190	R_Inferior_Temporal_Gyrus_2	right
191	L_Inferior_Temporal_Gyrus_3	left
192	R_Inferior_Temporal_Gyrus_3	right
193	L_Inferior_Temporal_Gyrus_4	left
194	R_Inferior_Temporal_Gyrus_4	right
195	L_Inferior_Temporal_Gyrus_5	left
196	R_Inferior_Temporal_Gyrus_5	right
197	L_Superior_Temporal_Pole_Gyrus_1	left
198	R_Superior_Temporal_Pole_Gyrus_1	right
199	L_Superior_Temporal_Pole_Gyrus_2	left
200	R_Superior_Temporal_Pole_Gyrus_2	right
201	L_Middle_Temporal_Pole_Gyrus_1	left
202	R_Middle_Temporal_Pole_Gyrus_1	right
203	L_Middle_Temporal_Pole_Gyrus_2	left
204	R_Middle_Temporal_Pole_Gyrus_2	right
205	L_Middle_Temporal_Pole_Gyrus_3	left
206	R_Middle_Temporal_Pole_Gyrus_3	right
207	L_Superior_Medial_Frontal_Gyrus_1	left
208	R_Superior_Medial_Frontal_Gyrus_1	right
209	L_Superior_Medial_Frontal_Gyrus_2	left
210	R_Superior_Medial_Frontal_Gyrus_2	right
211	L_Superior_Medial_Frontal_Gyrus_3	left
212	R_Superior_Medial_Frontal_Gyrus_3	right
213	L_Anterior_Rostral_Sulcus_1	left
214	R_Anterior_Rostral_Sulcus_1	right
215	L_Medial_Frontal_Orbital_Gyrus_1	left
216	R_Medial_Frontal_Orbital_Gyrus_1	right
217	L_Medial_Frontal_Orbital_Gyrus_2	left
