index	label	hemisphere
218	R_Medial_Frontal_Orbital_Gyrus_2	right
219	L_Subcallosal_Gyrus_1	left
220	R_Subcallosal_Gyrus_1	right
221	L_Supplementary_Motor_Area_Gyrus_1	left
222	R_Supplementary_Motor_Area_Gyrus_1	right
223	L_Supplementary_Motor_Area_Gyrus_2	left
224	R_Supplementary_Motor_Area_Gyrus_2	right
225	L_Supplementary_Motor_Area_Gyrus_3	left
226	R_Supplementary_Motor_Area_Gyrus_3	right
227	L_Cingulate_Sulcus_1	left
228	R_Cingulate_Sulcus_1	right
229	L_Cingulate_Sulcus_2	left
230	R_Cingulate_Sulcus_2	right
231	L_Cingulate_Sulcus_3	left
232	R_Cingulate_Sulcus_3	right
233	L_Cingulate_Sulcus_4	left
234	R_Cingulate_Sulcus_4	right
235	L_Cingulate_Sulcus_5	left
236	R_Cingulate_Sulcus_5	right
237	L_Cingulate_Sulcus_6	left
238	R_Cingulate_Sulcus_6	right
239	L_Cingulate_Sulcus_7	left
240	R_Cingulate_Sulcus_7	right
241	L_Anterior_Cingulum_Gyrus_1	left
242	R_Anterior_Cingulum_Gyrus_1	right
243	L_Anterior_Cingulum_Gyrus_2	left
244	R_Anterior_Cingulum_Gyrus_2	right
245	L_Middle_Cingulum_Gyrus_1	left
246	R_Middle_Cingulum_Gyrus_1	right
247	L_Middle_Cingulum_Gyrus_2	left
248	R_Middle_Cingulum_Gyrus_2	right
249	L_Middle_Cingulum_Gyrus_3	left
250	R_Middle_Cingulum_Gyrus_3	right
251	L_Posterior_Cingulum_Gyrus_1	left
252	R_Posterior_Cingulum_Gyrus_1	right
253	L_Posterior_Cingulum_Gyrus_2	left
254	R_Posterior_Cingulum_Gyrus_2	right
255	L_Posterior_Cingulum_Gyrus_3	left
256	R_Posterior_Cingulum_Gyrus_3	right
257	L_Paracentral_Lobule_Gyrus_1	left
258	R_Paracentral_Lobule_Gyrus_1	right
259	L_Paracentral_Lobule_Gyrus_2	left
260	R_Paracentral_Lobule_Gyrus_2	right
261	L_Paracentral_Lobule_Gyrus_3	left
262	R_Paracentral_Lobule_Gyrus_3	right
263	L_Paracentral_Lobule_Gyrus_4	left
264	R_Paracentral_Lobule_Gyrus_4	right
265	L_Precuneus_Gyrus_1	left
266	R_Precuneus_Gyrus_1	right
267	L_Precuneus_Gyrus_2	left
268	R_Precuneus_Gyrus_2	right
269	L_Precuneus_Gyrus_3	left
270	R_Precuneus_Gyrus_3	right
271	L_Precuneus_Gyrus_4	left
272	R_Precuneus_Gyrus_4	right
273	L_Precuneus_Gyrus_5	left
274	R_Precuneus_Gyrus_5	right
275	L_Precuneus_Gyrus_6	left
276	R_Precuneus_Gyrus_6	right
277	L_Precuneus_Gyrus_7	left
278	R_Precuneus_Gyrus_7	right
279	L_Precuneus_Gyrus_8	left
280	R_Precuneus_Gyrus_8	right
281	L_Precuneus_Gyrus_9	left
282	R_Precuneus_Gyrus_9	right
283	L_Parieto-Occipital_Sulcus_1	left
284	R_Parieto-Occipital_Sulcus_1	right
285	L_Parieto-Occipital_Sulcus_2	left
286	R_Parieto-Occipital_Sulcus_2	right
287	L_Parieto-Occipital_Sulcus_3	left
288	R_Parieto-Occipital_Sulcus_3	right
289	L_Parieto-Occipital_Sulcus_4	left
290	R_Parieto-Occipital_Sulcus_4	right
291	L_Parieto-Occipital_Sulcus_5	left
292	R_Parieto-Occipital_Sulcus_5	right
293	L_Parieto-Occipital_Sulcus_6	left
294	R_Parieto-Occipital_Sulcus_6	right
295	L_Cuneus_Gyrus_1	left
296	R_Cuneus_Gyrus_1	right
297	L_Cuneus_Gyrus_2	left
298	R_Cuneus_Gyrus_2	right
299	L_Calcarine_Gyrus_1	left
300	R_Calcarine_Gyrus_1	right
301	L_Calcarine_Gyrus_2	left
302	R_Calcarine_Gyrus_2	right
303	L_Calcarine_Gyrus_3	left
304	R_Calcarine_Gyrus_3	right
305	L_Lingual_Gyrus_1	left
306	R_Lingual_Gyrus_1	right
307	L_Lingual_Gyrus_2	left
308	R_Lingual_Gyrus_2	right
309	L_Lingual_Gyrus_3	left
310	R_Lingual_Gyrus_3	right
311	L_Lingual_Gyrus_4	left
312	R_Lingual_Gyrus_4	right
313	L_Lingual_Gyrus_5	left
314	R_Lingual_Gyrus_5	right
315	L_Lingual_Gyrus_6	left
316	R_Lingual_Gyrus_6	right
317	L_Hippocampus_Gyrus_1	left
318	R_Hippocampus_Gyrus_1	right
319	L_Hippocampus_Gyrus_2	left
320	R_Hippocampus_Gyrus_2	right
321	L_ParaHippocampal_Gyrus_1	left
322	R_ParaHippocampal_Gyrus_1	right
323	L_ParaHippocampal_Gyrus_2	left
324	R_ParaHippocampal_Gyrus_2	right
325	L_ParaHippocampal_Gyrus_3	left
326	R_ParaHippocampal_Gyrus_3	right
327	L_ParaHippocampal_Gyrus_4	left
328	R_ParaHippocampal_Gyrus_4	right
329	L_ParaHippocampal_Gyrus_5	left
330	R_ParaHippocampal_Gyrus_5	right
331	L_Fusiform_Gyrus_1	left
332	R_Fusiform_Gyrus_1	right
333	L_Fusiform_Gyrus_2	left
334	R_Fusiform_Gyrus_2	right
335	L_Fusiform_Gyrus_3	left
336	R_Fusiform_Gyrus_3	right
337	L_Fusiform_Gyrus_4	left
338	R_Fusiform_Gyrus_4	right
339	L_Fusiform_Gyrus_5	left
340	R_Fusiform_Gyrus_5	right
341	L_Fusiform_Gyrus_6	left
342	R_Fusiform_Gyrus_6	right
343	L_Fusiform_Gyrus_7	left
344	R_Fusiform_Gyrus_7	right
345	L_Amygdala_Nucleus_1	left
346	R_Amygdala_Nucleus_1	right
347	L_Caudate_Nucleus_1	left
348	R_Caudate_Nucleus_1	right
349	L_Caudate_Nucleus_2	left
350	R_Caudate_Nucleus_2	right
351	L_Caudate_Nucleus_3	left
352	R_Caudate_Nucleus_3	right
353	L_Caudate_Nucleus_4	left
354	R_Caudate_Nucleus_4	right
355	L_Caudate_Nucleus_5	left
356	R_Caudate_Nucleus_5	right
357	L_Caudate_Nucleus_6	left
358	R_Caudate_Nucleus_6	right
359	L_Caudate_Nucleus_7	left
360	R_Caudate_Nucleus_7	right
361	L_Pallidum_Nucleus_1	left
362	R_Pallidum_Nucleus_1	right
363	L_Putamen_Nucleus_2	left
364	R_Putamen_Nucleus_2	right
365	L_Putamen_Nucleus_3	left
366	R_Putamen_Nucleus_3	right
367	L_Thalamus_Nucleus_1	left
368	R_Thalamus_Nucleus_1	right
369	L_Thalamus_Nucleus_2	left
370	R_Thalamus_Nucleus_2	right
371	L_Thalamus_Nucleus_3	left
372	R_Thalamus_Nucleus_3	right
373	L_Thalamus_Nucleus_4	left
374	R_Thalamus_Nucleus_4	right
375	L_Thalamus_Nucleus_5	left
376	R_Thalamus_Nucleus_5	right
377	L_Thalamus_Nucleus_6	left
378	R_Thalamus_Nucleus_6	right
379	L_Thalamus_Nucleus_7	left
380	R_Thalamus_Nucleus_7	right
381	L_Thalamus_Nucleus_8	left
382	R_Thalamus_Nucleus_8	right
383	L_Thalamus_Nucleus_9	left
384	R_Thalamus_Nucleus_9	right
