index	label	hemisphere
1	Fronto-marginal_gyrus+sulcus	bilateral
2	Inferior_occipital_gyrus+sulcus	bilateral
3	Paracentral_lobule+sulcus	bilateral
4	Subcentral_gyrus+sulci	bilateral
5	Transverse_frontopolar_gyri+sulci	bilateral
6	Cingulate_gyrus+sulcus_anterior_part	bilateral
7	Cingulate_gyrus+sulcus_middle-anterior_part	bilateral
8	Cingulate_gyrus+sulcus_middle-posterior_part	bilateral
9	Cingulate_gyrus_posterior-dorsal_part	bilateral
10	Cingulate_gyrus_posterior-ventral_part	bilateral
11	Cuneus	bilateral
12	Inferior_frontal_gyrus_opercular_part	bilateral
13	Inferior_frontal_gyrus_orbital_part	bilateral
14	Inferior_frontal_gyrus_triangular_part	bilateral
15	Middle_frontal_gyrus	bilateral
16	Superior_frontal_gyrus	bilateral
17	Insula_insular_gyrus+central_sulcus	bilateral
18	Insular_gyri_short	bilateral
19	Middle_occipital_gyrus	bilateral
20	Superior_occipital_gyrus	bilateral
21	Lateral_occipito-temporal_gyrus	bilateral
22	Lingual_gyrus	bilateral
23	Parahippocampal_gyrus	bilateral
24	Orbital_gyri	bilateral
25	Angular_gyrus	bilateral
26	Supramarginal_gyrus	bilateral
27	Superior_parietal_lobule	bilateral
28	Postcentral_gyrus	bilateral
29	Precentral_gyrus	bilateral
30	Precuneus	bilateral
31	Straight_gyrus	bilateral
32	Subcallosal_area+gyrus	bilateral
33	Anterior_transverse_temporal_gyrus	bilateral
34	Superior_temporal_gyrus_lateral_aspect	bilateral
35	Superior_temporal_gyrus_planum_polare	bilateral
36	Planum_temporale	bilateral
37	Inferior_temporal_gyrus	bilateral
38	Middle_temporal_gyrus	bilateral
39	Anterior_segment_of_lateral_sulcus_horizontal_ramus	bilateral
40	Anterior_segment_of_lateral_sulcus_vertical_ramus	bilateral
41	Lateral_sulcus_posterior_ramus	bilateral
43	Occipital_pole	bilateral
44	Temporal_pole	bilateral
45	Calcarine_sulcus	bilateral
46	Central_sulcus	bilateral
47	Cingulate_sulcus_marginal_branch	bilateral
48	Insula_circular_sulcus_anterior_part	bilateral
49	Insula_circular_sulcus_inferior_part	bilateral
50	Insula_circular_sulcus_superior_part	bilateral
51	Anterior_transverse_collateral_sulcus	bilateral
52	Posterior_transverse_collateral_sulcus	bilateral
53	Inferior_frontal_sulcus	bilateral
54	Middle_frontal_sulcus	bilateral
55	Superior_frontal_sulcus	bilateral
56	Sulcus_intermedius_primus	bilateral
57	Intraparietal_sulcus+transverse_parietal_sulci	bilateral
58	Middle_occipital+lunatus_sulcus	bilateral
59	Superior+transverse_occipital_sulcus	bilateral
60	Anterior_occipital_sulcus+preoccipital_notch	bilateral
61	Lateral_occipito-temporal_sulcus	bilateral
62	Collateral+lingual_sulcus	bilateral
63	Lateral_orbital_sulcus	bilateral
64	Olfactory_sulcus	bilateral
65	Orbital_sulci	bilateral
66	Parieto-occipital_sulcus	bilateral
67	Pericallosal_sulcus	bilateral
68	Postcentral_sulcus	bilateral
69	Precentral_sulcus_inferior_part	bilateral
70	Precentral_sulcus_superior_part	bilateral
71	Suborbital_sulcus	bilateral
72	Subparietal_sulcus	bilateral
73	Inferior_temporal_sulcus	bilateral
74	Superior_temporal_sulcus	bilateral
75	Transverse_temporal_sulcus	bilateral
