index	label	hemisphere
1	Frontal_Pole	bilateral
2	Insular_Cortex	bilateral
3	Superior_Frontal_Gyrus	bilateral
4	Middle_Frontal_Gyrus	bilateral
5	Inferior_Frontal_Gyrus_pars_triangularis	bilateral
6	Inferior_Frontal_Gyrus_pars_opercularis	bilateral
7	Subcallosal_Cortex	bilateral
8	Temporal_Pole	bilateral
9	Superior_Temporal_Gyrus_anterior_division	bilateral
10	Superior_Temporal_Gyrus_posterior_division	bilateral
11	Middle_Temporal_Gyrus_anterior_division	bilateral
12	Middle_Temporal_Gyrus_posterior_division	bilateral
13	Middle_Temporal_Gyrus_temporoocipital_part	bilateral
14	Inferior_Temporal_Gyrus_anterior_division	bilateral
15	Inferior_Temporal_Gyrus_posterior_division	bilateral
16	Inferior_Temporal_Gyrus_temporoocipital_part	bilateral
17	Postcentral_Gyrus	bilateral
18	Superior_Parietal_Lobule	bilateral
19	Supramarginal_Gyrus_anterior_division	bilateral
20	Supramarginal_Gyrus_posterior_division	bilateral
21	Angular_Gyrus	bilateral
22	Lateral_Occipital_Cortex_superior_division	bilateral
23	Lateral_Occipital_Cortex_inferior_division	bilateral
24	Intracalcaring_Cortex	bilateral
25	Frontal_Medial_Cortex	bilateral
26	Justapositional_Lobule_Cortex_(formerly_Supplementary_Motor_Cortex)	bilateral
27	Subcallosal_Cortex	bilateral
28	Paracingulate_Gyrus	bilateral
29	Cingulate_Gyrus_anterior_division	bilateral
30	Cingulate_Gyrus_posterior_division	bilateral
31	Precuneous_Cortex	bilateral
32	Cuneal_Cortex	bilateral
33	Frontal_Orbital_Cortex	bilateral
34	Parahippocampal_Gyrus_anterior_division	bilateral
35	Parahippocampal_Gyrus_posterior_division	bilateral
36	Lingual_Gyrus	bilateral
37	Temporal_Fusiform_Cortex_anterior_division	bilateral
38	Temporal_Fusiform_Cortex_posterior_division	bilateral
39	Temporal_Occipital_Fusiform_Cortex	bilateral
40	Occipital_Fusiform_Gyrus	bilateral
41	Frontal_Operculum_Cortex	bilateral
42	Central_Opercular_Cortex	bilateral
43	Parietal_Operculum_Cortex	bilateral
44	Planum_Polare	bilateral
45	Heschl's_Gyrus_(includes_H1_and_H2)	bilateral
46	Planum_Temporale	bilateral
47	Supracalcarine_Cortex	bilateral
48	Occipital_Pole	bilateral
